Homogenity,Kurtosis,Correlation,Skewness,Entropy,RMS,Mean,Standard_Deviation,Energy,Contrast,Output
0.960662312,15.26635524,0.823308912,3.358529006,3.609497497,8.611277378,18.73292542,39.10557159,0.573107754,0.456387868,1
0.954866619,12.04289833,0.853721303,2.849428425,4.17021643,9.97561844,27.0647227,47.06776612,0.420137726,0.523621324,1
0.960757816,8.903399872,0.884276345,2.386336379,3.996900536,9.922909234,29.47789001,51.48067125,0.459803663,0.481740196,1
0.976718695,5.570026628,0.987480096,1.956509099,2.839668635,6.516736646,31.07586161,63.6302262,0.540382243,0.097457108,1
0.966973258,3.075216401,0.984209853,1.267840343,3.922061867,8.610411741,50.70576477,79.74185418,0.386375313,0.18471201,1
0.968584413,4.514284268,0.975628267,1.672609313,3.37044739,8.134055541,35.37654622,63.92286706,0.461916178,0.184344363,1
0.941506751,2.336251325,0.942760059,0.957569818,4.720180123,10.23151038,62.64798991,84.19423903,0.345331946,0.693964461,1
0.975305971,9.28158693,0.925126188,2.647430824,1.863940461,5.115511768,17.94470723,45.91790037,0.694897303,0.280851716,1
0.97762295,16.37658509,0.981277612,3.638671963,3.264116855,7.881037065,20.05201721,49.23248976,0.685098245,0.069822304,1
0.968339625,8.119382209,0.883291853,2.199269672,2.814794286,7.986237896,21.13356018,40.88302482,0.533199305,0.297518382,1
0.950651607,4.149553445,0.948371608,1.479008411,4.605581662,10.24733133,45.25336711,67.25068876,0.402869315,0.370879289,1
0.977184856,3.249127434,0.983909,1.399507478,2.825261322,8.359378398,42.76867167,75.09303484,0.540051383,0.169577206,1
0.975239882,2.742646443,0.981355329,1.193685994,3.414376817,9.179927827,47.88719177,75.93357124,0.464628642,0.195511642,1
0.954396884,9.052708864,0.843625758,2.739704257,1.507919983,5.493950292,19.82020569,56.44873502,0.737810902,0.843091299,1
0.985273875,4.765504983,0.968998622,1.819322047,2.262372818,4.217354491,26.70335388,55.35082055,0.629055884,0.174770221,1
0.983048881,3.694845447,0.969044875,1.491243026,2.824821383,5.481360621,31.82961019,56.71590008,0.542030716,0.180729167,1
0.970298239,7.800973684,0.948330563,2.238306327,4.254466413,9.937703175,28.37532552,48.09937604,0.375632225,0.208318015,1
0.981523255,11.10160157,0.912034625,2.51457897,3.076603697,7.134800046,17.13389587,32.41853547,0.473800734,0.142693015,1
0.976421204,3.079525448,0.970654681,1.292498181,3.545967011,8.555352313,52.6910553,84.61752374,0.442101686,0.359175858,1
0.981776888,3.316721764,0.978733595,1.340668243,3.674732079,8.207405669,50.50832621,80.73740621,0.426804362,0.23114277,1
0.967553834,7.271547767,0.948076362,2.304416276,3.697097158,9.235214768,31.65881348,62.08328632,0.532710235,0.340088848,1
0.9816959,7.82104429,0.957278862,2.535831345,1.724650337,4.358155971,23.1528066,61.98819295,0.738704016,0.284803922,1
0.981331444,9.387271267,0.952332814,2.542391553,2.363667415,5.346152385,17.07102966,38.02527721,0.597198644,0.082567402,1
0.968544822,8.472863077,0.913707738,2.251423603,2.742736593,6.919310319,22.85026042,44.80436403,0.538245392,0.298575368,1
0.962274597,6.594584447,0.95428396,2.135626875,4.920104984,10.23677325,36.35165405,61.55756059,0.403707959,0.325811887,1
0.914499537,3.057846196,0.886837601,1.03263404,5.050486409,11.14899074,56.24362183,69.66569889,0.287588489,0.906066176,1
0.94037744,3.467257246,0.917612641,1.286291699,3.660237781,9.347748148,38.65459188,58.56025321,0.406297401,0.509803922,1
0.919598342,4.001921918,0.819021034,1.656391154,2.329362775,7.06337532,39.17440287,78.9254949,0.57831627,1.896890319,1
0.954284547,2.288521504,0.952774814,0.786869913,4.610013397,10.8611961,55.76792908,66.93309956,0.283445279,0.377052696,1
0.939254402,5.08874791,0.89561822,1.847710342,2.791911424,7.704691263,31.78485616,62.98179942,0.536990342,0.725061275,1
0.946609587,6.050126299,0.912357431,2.074477595,2.847836389,7.636023313,29.0241038,60.57290812,0.554578458,0.564859069,1
0.98308519,22.38978932,0.925163752,4.36476732,1.300089327,4.059732707,10.16589864,38.14928381,0.841723207,0.154166667,1
0.975408406,28.91956172,0.75025342,5.087112365,0.772062932,3.298044876,7.546168009,35.39337907,0.885579603,0.425214461,1
0.977559651,9.328359696,0.947216178,2.743745683,1.560094589,3.976944251,20.35975138,56.12962332,0.736647517,0.332261029,1
0.911519188,2.756601616,0.775979698,1.134881831,3.043535706,8.571306669,38.36462402,60.36154871,0.446209514,1.406740196,1
0.973904153,5.857347112,0.951428701,2.077232547,2.059821665,4.52071476,26.37994385,60.14022298,0.677627851,0.245818015,1
0.949762415,12.54096038,0.887754127,3.038097782,3.278848155,8.387503838,20.39166768,46.35876344,0.621015702,0.383164828,1
0.917467484,3.549129166,0.896725357,1.465647985,2.966605605,7.892448663,39.00092061,69.75581665,0.522904824,0.763449755,1
0.963410984,3.926363215,0.922284417,1.441516793,3.385098679,8.972230073,30.52496338,49.9367657,0.482935366,0.296583946,1
0.974202137,9.882782387,0.916252683,2.887359007,1.875945578,5.467366173,21.85833232,62.6758022,0.753225649,0.526393995,1
0.938470873,5.215308875,0.851261504,1.838558257,2.832768226,8.071133279,29.30329386,56.71638169,0.518229889,0.834436275,1
0.954269174,7.456047417,0.837942115,2.381690398,1.936925008,6.400822926,22.71238708,55.67397467,0.660219994,0.913602941,1
0.954715001,10.45033403,0.832122756,2.929322482,1.742199427,5.830649522,19.03098551,54.20598496,0.712971473,0.891559436,1
0.965417469,7.876461978,0.928180615,2.507668247,1.855349224,5.739730849,23.77383931,61.96826347,0.720618621,0.440272672,1
0.965620623,9.636429843,0.917482119,2.82091038,1.683482929,5.265087524,20.17080688,57.71905734,0.764176769,0.425566789,1
0.947611516,5.85252311,0.874963859,1.99679391,2.862960944,7.91340779,29.34995015,58.85572967,0.515863129,0.781265319,1
0.957447898,5.145783742,0.917967362,1.880602404,2.523766698,7.229460721,30.44704183,62.39253372,0.575152287,0.601685049,1
0.954368581,3.602819485,0.943331066,1.462941542,3.138768088,8.341000094,43.39105733,75.81682131,0.493603462,0.618520221,1
0.949193055,3.537557767,0.892764666,1.443674421,3.093576363,8.478706867,40.5274353,70.87501784,0.491558766,0.877772672,1
0.96632683,5.74067049,0.921945768,2.006636777,2.358234593,5.978231569,27.88724772,59.87787686,0.612095662,0.486933211,1
0.968176281,7.888235163,0.913106909,2.448590165,1.948719389,5.695933838,21.72168986,53.85794608,0.67909566,0.452190564,1
0.958200554,7.287070957,0.871294615,2.213486618,2.750653524,7.752979365,24.65964762,51.13949577,0.573097167,0.490594363,1
0.968835693,5.252782277,0.937042462,1.939104473,2.261925624,5.886892252,30.89804077,66.60714597,0.630073177,0.501041667,1
0.911409113,6.017780978,0.807186401,1.774648174,4.145808472,10.05015724,33.50426737,51.86601879,0.32505481,0.908134191,1
0.951213545,3.79624856,0.941834086,1.508815029,3.169971082,8.060755126,38.26830546,67.37875099,0.486523618,0.502113971,1
0.923776607,5.227304141,0.84131019,1.713856358,3.987743348,9.510271516,35.32376607,57.26855574,0.378010237,0.887530637,1
0.944778901,3.308157018,0.908234977,1.203199595,3.660964054,8.831656311,39.17351278,57.72815009,0.398120289,0.529365809,1
0.9540017,4.880668923,0.942236389,1.651548223,4.558403494,10.34956894,41.11623637,63.60889142,0.3266823,0.225643382,1
0.951460686,9.282271704,0.842690776,2.671431697,2.252785016,6.799552314,21.41724141,53.29866892,0.656783806,0.668167892,1
0.951356738,3.497597386,0.940589051,1.339211919,3.995208124,9.210113365,40.03462728,61.4329529,0.367393656,0.391896446,1
0.976319627,4.845043893,0.934194025,1.604116153,3.866747391,9.641449413,32.40256246,51.00041789,0.39897108,0.138327206,1
0.956788705,4.380377661,0.965668381,1.729695963,3.318309328,9.101357512,47.39585368,85.81811832,0.474454178,0.390992647,1
0.957567803,3.22704474,0.889840992,1.14516354,4.592306357,10.16677449,42.07036845,55.69410507,0.307327801,0.295634191,1
0.946435611,2.570361526,0.905316628,0.918501138,4.721778129,11.30656528,39.11306763,47.88257441,0.294117497,0.216007966,1
0.977473484,7.558129788,0.967223232,2.466876208,2.204815097,7.335986935,30.92669678,73.78466264,0.617620043,0.268795956,1
0.973212827,4.30967928,0.907871781,1.581157565,3.25915422,8.205329985,21.15208944,34.72083416,0.469101385,0.075214461,1
0.951692435,3.65134935,0.909628355,1.403073695,3.235876184,8.69413548,29.24583435,48.09853689,0.465488306,0.339246324,1
