Entropy,Homogeneity,Mean,Correlation,Standard,Energy,Contrast,Output
3.609497497,0.960662312,18.73292542,0.823308912,39.10557159,0.573107754,0.456387868,1
4.17021643,0.954866619,27.0647227,0.853721303,47.06776612,0.420137726,0.523621324,1
3.996900536,0.960757816,29.47789001,0.884276345,51.48067125,0.459803663,0.481740196,1
2.839668635,0.976718695,31.07586161,0.987480096,63.6302262,0.540382243,0.097457108,1
3.922061867,0.966973258,50.70576477,0.984209853,79.74185418,0.386375313,0.18471201,1
3.37044739,0.968584413,35.37654622,0.975628267,63.92286706,0.461916178,0.184344363,1
4.720180123,0.941506751,62.64798991,0.942760059,84.19423903,0.345331946,0.693964461,1
1.863940461,0.975305971,17.94470723,0.925126188,45.91790037,0.694897303,0.280851716,1
3.264116855,0.97762295,20.05201721,0.981277612,49.23248976,0.685098245,0.069822304,1
2.814794286,0.968339625,21.13356018,0.883291853,40.88302482,0.533199305,0.297518382,1
4.605581662,0.950651607,45.25336711,0.948371608,67.25068876,0.402869315,0.370879289,1
2.825261322,0.977184856,42.76867167,0.983909,75.09303484,0.540051383,0.169577206,1
3.414376817,0.975239882,47.88719177,0.981355329,75.93357124,0.464628642,0.195511642,1
1.507919983,0.954396884,19.82020569,0.843625758,56.44873502,0.737810902,0.843091299,1
2.262372818,0.985273875,26.70335388,0.968998622,55.35082055,0.629055884,0.174770221,1
2.824821383,0.983048881,31.82961019,0.969044875,56.71590008,0.542030716,0.180729167,1
4.254466413,0.970298239,28.37532552,0.948330563,48.09937604,0.375632225,0.208318015,1
3.076603697,0.981523255,17.13389587,0.912034625,32.41853547,0.473800734,0.142693015,1
3.545967011,0.976421204,52.6910553,0.970654681,84.61752374,0.442101686,0.359175858,1
3.674732079,0.981776888,50.50832621,0.978733595,80.73740621,0.426804362,0.23114277,1
3.697097158,0.967553834,31.65881348,0.948076362,62.08328632,0.532710235,0.340088848,1
1.724650337,0.9816959,23.1528066,0.957278862,61.98819295,0.738704016,0.284803922,1
2.363667415,0.981331444,17.07102966,0.952332814,38.02527721,0.597198644,0.082567402,1
2.742736593,0.968544822,22.85026042,0.913707738,44.80436403,0.538245392,0.298575368,1
4.920104984,0.962274597,36.35165405,0.95428396,61.55756059,0.403707959,0.325811887,1
5.050486409,0.914499537,56.24362183,0.886837601,69.66569889,0.287588489,0.906066176,1
3.660237781,0.94037744,38.65459188,0.917612641,58.56025321,0.406297401,0.509803922,1
2.329362775,0.919598342,39.17440287,0.819021034,78.9254949,0.57831627,1.896890319,1
4.610013397,0.954284547,55.76792908,0.952774814,66.93309956,0.283445279,0.377052696,1
2.791911424,0.939254402,31.78485616,0.89561822,62.98179942,0.536990342,0.725061275,1
2.847836389,0.946609587,29.0241038,0.912357431,60.57290812,0.554578458,0.564859069,1
1.300089327,0.98308519,10.16589864,0.925163752,38.14928381,0.841723207,0.154166667,1
0.772062932,0.975408406,7.546168009,0.75025342,35.39337907,0.885579603,0.425214461,1
1.560094589,0.977559651,20.35975138,0.947216178,56.12962332,0.736647517,0.332261029,1
3.043535706,0.911519188,38.36462402,0.775979698,60.36154871,0.446209514,1.406740196,1
2.059821665,0.973904153,26.37994385,0.951428701,60.14022298,0.677627851,0.245818015,1
3.278848155,0.949762415,20.39166768,0.887754127,46.35876344,0.621015702,0.383164828,1
2.966605605,0.917467484,39.00092061,0.896725357,69.75581665,0.522904824,0.763449755,1
3.385098679,0.963410984,30.52496338,0.922284417,49.9367657,0.482935366,0.296583946,1
1.875945578,0.974202137,21.85833232,0.916252683,62.6758022,0.753225649,0.526393995,1
2.832768226,0.938470873,29.30329386,0.851261504,56.71638169,0.518229889,0.834436275,1
1.936925008,0.954269174,22.71238708,0.837942115,55.67397467,0.660219994,0.913602941,1
1.742199427,0.954715001,19.03098551,0.832122756,54.20598496,0.712971473,0.891559436,1
1.855349224,0.965417469,23.77383931,0.928180615,61.96826347,0.720618621,0.440272672,1
1.683482929,0.965620623,20.17080688,0.917482119,57.71905734,0.764176769,0.425566789,1
2.862960944,0.947611516,29.34995015,0.874963859,58.85572967,0.515863129,0.781265319,1
2.523766698,0.957447898,30.44704183,0.917967362,62.39253372,0.575152287,0.601685049,1
3.138768088,0.954368581,43.39105733,0.943331066,75.81682131,0.493603462,0.618520221,1
3.093576363,0.949193055,40.5274353,0.892764666,70.87501784,0.491558766,0.877772672,1
2.358234593,0.96632683,27.88724772,0.921945768,59.87787686,0.612095662,0.486933211,1
1.948719389,0.968176281,21.72168986,0.913106909,53.85794608,0.67909566,0.452190564,1
2.750653524,0.958200554,24.65964762,0.871294615,51.13949577,0.573097167,0.490594363,1
2.261925624,0.968835693,30.89804077,0.937042462,66.60714597,0.630073177,0.501041667,1
4.145808472,0.911409113,33.50426737,0.807186401,51.86601879,0.32505481,0.908134191,1
3.169971082,0.951213545,38.26830546,0.941834086,67.37875099,0.486523618,0.502113971,1
3.987743348,0.923776607,35.32376607,0.84131019,57.26855574,0.378010237,0.887530637,1
3.660964054,0.944778901,39.17351278,0.908234977,57.72815009,0.398120289,0.529365809,1
4.558403494,0.9540017,41.11623637,0.942236389,63.60889142,0.3266823,0.225643382,1
2.252785016,0.951460686,21.41724141,0.842690776,53.29866892,0.656783806,0.668167892,1
3.995208124,0.951356738,40.03462728,0.940589051,61.4329529,0.367393656,0.391896446,1
3.866747391,0.976319627,32.40256246,0.934194025,51.00041789,0.39897108,0.138327206,1
3.318309328,0.956788705,47.39585368,0.965668381,85.81811832,0.474454178,0.390992647,1
4.592306357,0.957567803,42.07036845,0.889840992,55.69410507,0.307327801,0.295634191,1
4.721778129,0.946435611,39.11306763,0.905316628,47.88257441,0.294117497,0.216007966,1
2.204815097,0.977473484,30.92669678,0.967223232,73.78466264,0.617620043,0.268795956,1
3.25915422,0.973212827,21.15208944,0.907871781,34.72083416,0.469101385,0.075214461,1
