Homogeneity,Entropy,RMS,Mean,Energy,Standard_Deviation,Correlation,Contrast,Variance,Output
0.960662312,3.609497497,8.611277378,18.73292542,0.573107754,39.10557159,0.823308912,0.456387868,1294.854341,1
0.954866619,4.17021643,9.97561844,27.0647227,0.420137726,47.06776612,0.853721303,0.523621324,2004.468146,1
0.960757816,3.996900536,9.922909234,29.47789001,0.459803663,51.48067125,0.884276345,0.481740196,2443.327884,1
0.976718695,2.839668635,6.516736646,31.07586161,0.540382243,63.6302262,0.987480096,0.097457108,2657.972212,1
0.966973258,3.922061867,8.610411741,50.70576477,0.386375313,79.74185418,0.984209853,0.18471201,4034.105273,1
0.968584413,3.37044739,8.134055541,35.37654622,0.461916178,63.92286706,0.975628267,0.184344363,2910.036969,1
0.941506751,4.720180123,10.23151038,62.64798991,0.345331946,84.19423903,0.942760059,0.693964461,5764.543623,1
0.975305971,1.863940461,5.115511768,17.94470723,0.694897303,45.91790037,0.925126188,0.280851716,1879.463334,1
0.97762295,3.264116855,7.881037065,20.05201721,0.685098245,49.23248976,0.981277612,0.069822304,1884.606261,1
0.968339625,2.814794286,7.986237896,21.13356018,0.533199305,40.88302482,0.883291853,0.297518382,1443.267492,1
0.950651607,4.605581662,10.24733133,45.25336711,0.402869315,67.25068876,0.948371608,0.370879289,3875.739496,1
0.977184856,2.825261322,8.359378398,42.76867167,0.540051383,75.09303484,0.983909,0.169577206,5261.542019,1
0.975239882,3.414376817,9.179927827,47.88719177,0.464628642,75.93357124,0.981355329,0.195511642,5342.964561,1
0.954396884,1.507919983,5.493950292,19.82020569,0.737810902,56.44873502,0.843625758,0.843091299,3111.225422,1
0.985273875,2.262372818,4.217354491,26.70335388,0.629055884,55.35082055,0.968998622,0.174770221,1073.383314,1
0.983048881,2.824821383,5.481360621,31.82961019,0.542030716,56.71590008,0.969044875,0.180729167,1143.805408,1
0.970298239,4.254466413,9.937703175,28.37532552,0.375632225,48.09937604,0.948330563,0.208318015,1695.688144,1
0.981523255,3.076603697,7.134800046,17.13389587,0.473800734,32.41853547,0.912034625,0.142693015,610.1868262,1
0.976421204,3.545967011,8.555352313,52.6910553,0.442101686,84.61752374,0.970654681,0.359175858,4381.60891,1
0.981776888,3.674732079,8.207405669,50.50832621,0.426804362,80.73740621,0.978733595,0.23114277,2994.981527,1
0.967553834,3.697097158,9.235214768,31.65881348,0.532710235,62.08328632,0.948076362,0.340088848,3438.630455,1
0.9816959,1.724650337,4.358155971,23.1528066,0.738704016,61.98819295,0.957278862,0.284803922,2488.683725,1
0.981331444,2.363667415,5.346152385,17.07102966,0.597198644,38.02527721,0.952332814,0.082567402,831.9217723,1
0.968544822,2.742736593,6.919310319,22.85026042,0.538245392,44.80436403,0.913707738,0.298575368,1271.078854,1
0.962274597,4.920104984,10.23677325,36.35165405,0.403707959,61.55756059,0.95428396,0.325811887,3392.481396,1
0.914499537,5.050486409,11.14899074,56.24362183,0.287588489,69.66569889,0.886837601,0.906066176,3662.077004,1
0.94037744,3.660237781,9.347748148,38.65459188,0.406297401,58.56025321,0.917612641,0.509803922,2932.405974,1
0.919598342,2.329362775,7.06337532,39.17440287,0.57831627,78.9254949,0.819021034,1.896890319,5620.404751,1
0.954284547,4.610013397,10.8611961,55.76792908,0.283445279,66.93309956,0.952774814,0.377052696,3703.653192,1
0.939254402,2.791911424,7.704691263,31.78485616,0.536990342,62.98179942,0.89561822,0.725061275,3678.674954,1
0.946609587,2.847836389,7.636023313,29.0241038,0.554578458,60.57290812,0.912357431,0.564859069,3322.331395,1
0.98308519,1.300089327,4.059732707,10.16589864,0.841723207,38.14928381,0.925163752,0.154166667,1258.189682,1
0.975408406,0.772062932,3.298044876,7.546168009,0.885579603,35.39337907,0.75025342,0.425214461,1166.325825,1
0.977559651,1.560094589,3.976944251,20.35975138,0.736647517,56.12962332,0.947216178,0.332261029,1364.156363,1
0.911519188,3.043535706,8.571306669,38.36462402,0.446209514,60.36154871,0.775979698,1.406740196,3143.656487,1
0.973904153,2.059821665,4.52071476,26.37994385,0.677627851,60.14022298,0.951428701,0.245818015,2111.087005,1
0.949762415,3.278848155,8.387503838,20.39166768,0.621015702,46.35876344,0.887754127,0.383164828,1909.018453,1
0.917467484,2.966605605,7.892448663,39.00092061,0.522904824,69.75581665,0.896725357,0.763449755,4352.893023,1
0.963410984,3.385098679,8.972230073,30.52496338,0.482935366,49.9367657,0.922284417,0.296583946,2256.46097,1
0.974202137,1.875945578,5.467366173,21.85833232,0.753225649,62.6758022,0.916252683,0.526393995,2601.351617,1
0.938470873,2.832768226,8.071133279,29.30329386,0.518229889,56.71638169,0.851261504,0.834436275,3019.210372,1
0.954269174,1.936925008,6.400822926,22.71238708,0.660219994,55.67397467,0.837942115,0.913602941,2988.261764,1
0.954715001,1.742199427,5.830649522,19.03098551,0.712971473,54.20598496,0.832122756,0.891559436,2840.051416,1
0.965417469,1.855349224,5.739730849,23.77383931,0.720618621,61.96826347,0.928180615,0.440272672,3468.339294,1
0.965620623,1.683482929,5.265087524,20.17080688,0.764176769,57.71905734,0.917482119,0.425566789,3068.135557,1
0.947611516,2.862960944,7.91340779,29.34995015,0.515863129,58.85572967,0.874963859,0.781265319,3185.669159,1
0.957447898,2.523766698,7.229460721,30.44704183,0.575152287,62.39253372,0.917967362,0.601685049,3508.094228,1
