Contrast,RMS,Correlation,Skewness,Kurtosis,Variance,Standard_Deviation,Entropy,Energy,Mean,Output
0.456387868,8.611277378,0.823308912,3.358529006,15.26635524,1294.854341,39.10557159,3.609497497,0.573107754,18.73292542,1
0.523621324,9.97561844,0.853721303,2.849428425,12.04289833,2004.468146,47.06776612,4.17021643,0.420137726,27.0647227,1
0.481740196,9.922909234,0.884276345,2.386336379,8.903399872,2443.327884,51.48067125,3.996900536,0.459803663,29.47789001,1
0.097457108,6.516736646,0.987480096,1.956509099,5.570026628,2657.972212,63.6302262,2.839668635,0.540382243,31.07586161,1
0.18471201,8.610411741,0.984209853,1.267840343,3.075216401,4034.105273,79.74185418,3.922061867,0.386375313,50.70576477,1
0.184344363,8.134055541,0.975628267,1.672609313,4.514284268,2910.036969,63.92286706,3.37044739,0.461916178,35.37654622,1
0.693964461,10.23151038,0.942760059,0.957569818,2.336251325,5764.543623,84.19423903,4.720180123,0.345331946,62.64798991,1
0.280851716,5.115511768,0.925126188,2.647430824,9.28158693,1879.463334,45.91790037,1.863940461,0.694897303,17.94470723,1
0.069822304,7.881037065,0.981277612,3.638671963,16.37658509,1884.606261,49.23248976,3.264116855,0.685098245,20.05201721,1
0.297518382,7.986237896,0.883291853,2.199269672,8.119382209,1443.267492,40.88302482,2.814794286,0.533199305,21.13356018,1
0.370879289,10.24733133,0.948371608,1.479008411,4.149553445,3875.739496,67.25068876,4.605581662,0.402869315,45.25336711,1
0.169577206,8.359378398,0.983909,1.399507478,3.249127434,5261.542019,75.09303484,2.825261322,0.540051383,42.76867167,1
0.195511642,9.179927827,0.981355329,1.193685994,2.742646443,5342.964561,75.93357124,3.414376817,0.464628642,47.88719177,1
0.843091299,5.493950292,0.843625758,2.739704257,9.052708864,3111.225422,56.44873502,1.507919983,0.737810902,19.82020569,1
0.174770221,4.217354491,0.968998622,1.819322047,4.765504983,1073.383314,55.35082055,2.262372818,0.629055884,26.70335388,1
0.180729167,5.481360621,0.969044875,1.491243026,3.694845447,1143.805408,56.71590008,2.824821383,0.542030716,31.82961019,1
0.208318015,9.937703175,0.948330563,2.238306327,7.800973684,1695.688144,48.09937604,4.254466413,0.375632225,28.37532552,1
0.142693015,7.134800046,0.912034625,2.51457897,11.10160157,610.1868262,32.41853547,3.076603697,0.473800734,17.13389587,1
0.359175858,8.555352313,0.970654681,1.292498181,3.079525448,4381.60891,84.61752374,3.545967011,0.442101686,52.6910553,1
0.23114277,8.207405669,0.978733595,1.340668243,3.316721764,2994.981527,80.73740621,3.674732079,0.426804362,50.50832621,1
0.340088848,9.235214768,0.948076362,2.304416276,7.271547767,3438.630455,62.08328632,3.697097158,0.532710235,31.65881348,1
0.284803922,4.358155971,0.957278862,2.535831345,7.82104429,2488.683725,61.98819295,1.724650337,0.738704016,23.1528066,1
0.082567402,5.346152385,0.952332814,2.542391553,9.387271267,831.9217723,38.02527721,2.363667415,0.597198644,17.07102966,1
0.298575368,6.919310319,0.913707738,2.251423603,8.472863077,1271.078854,44.80436403,2.742736593,0.538245392,22.85026042,1
0.325811887,10.23677325,0.95428396,2.135626875,6.594584447,3392.481396,61.55756059,4.920104984,0.403707959,36.35165405,1
0.906066176,11.14899074,0.886837601,1.03263404,3.057846196,3662.077004,69.66569889,5.050486409,0.287588489,56.24362183,1
0.509803922,9.347748148,0.917612641,1.286291699,3.467257246,2932.405974,58.56025321,3.660237781,0.406297401,38.65459188,1
1.896890319,7.06337532,0.819021034,1.656391154,4.001921918,5620.404751,78.9254949,2.329362775,0.57831627,39.17440287,1
0.377052696,10.8611961,0.952774814,0.786869913,2.288521504,3703.653192,66.93309956,4.610013397,0.283445279,55.76792908,1
0.725061275,7.704691263,0.89561822,1.847710342,5.08874791,3678.674954,62.98179942,2.791911424,0.536990342,31.78485616,1
0.564859069,7.636023313,0.912357431,2.074477595,6.050126299,3322.331395,60.57290812,2.847836389,0.554578458,29.0241038,1
0.154166667,4.059732707,0.925163752,4.36476732,22.38978932,1258.189682,38.14928381,1.300089327,0.841723207,10.16589864,1
0.425214461,3.298044876,0.75025342,5.087112365,28.91956172,1166.325825,35.39337907,0.772062932,0.885579603,7.546168009,1
0.332261029,3.976944251,0.947216178,2.743745683,9.328359696,1364.156363,56.12962332,1.560094589,0.736647517,20.35975138,1
1.406740196,8.571306669,0.775979698,1.134881831,2.756601616,3143.656487,60.36154871,3.043535706,0.446209514,38.36462402,1
0.245818015,4.52071476,0.951428701,2.077232547,5.857347112,2111.087005,60.14022298,2.059821665,0.677627851,26.37994385,1
0.383164828,8.387503838,0.887754127,3.038097782,12.54096038,1909.018453,46.35876344,3.278848155,0.621015702,20.39166768,1
0.763449755,7.892448663,0.896725357,1.465647985,3.549129166,4352.893023,69.75581665,2.966605605,0.522904824,39.00092061,1
0.296583946,8.972230073,0.922284417,1.441516793,3.926363215,2256.46097,49.9367657,3.385098679,0.482935366,30.52496338,1
0.526393995,5.467366173,0.916252683,2.887359007,9.882782387,2601.351617,62.6758022,1.875945578,0.753225649,21.85833232,1
0.834436275,8.071133279,0.851261504,1.838558257,5.215308875,3019.210372,56.71638169,2.832768226,0.518229889,29.30329386,1
0.913602941,6.400822926,0.837942115,2.381690398,7.456047417,2988.261764,55.67397467,1.936925008,0.660219994,22.71238708,1
0.891559436,5.830649522,0.832122756,2.929322482,10.45033403,2840.051416,54.20598496,1.742199427,0.712971473,19.03098551,1
