Contrast,RMS,Correlation,Skewness,Kurtosis,Output
0.456387868,8.611277378,0.823308912,3.358529006,15.26635524,1
0.523621324,9.97561844,0.853721303,2.849428425,12.04289833,1
0.481740196,9.922909234,0.884276345,2.386336379,8.903399872,1
0.097457108,6.516736646,0.987480096,1.956509099,5.570026628,1
0.18471201,8.610411741,0.984209853,1.267840343,3.075216401,1
0.184344363,8.134055541,0.975628267,1.672609313,4.514284268,1
0.693964461,10.23151038,0.942760059,0.957569818,2.336251325,1
0.280851716,5.115511768,0.925126188,2.647430824,9.28158693,1
0.069822304,7.881037065,0.981277612,3.638671963,16.37658509,1
0.297518382,7.986237896,0.883291853,2.199269672,8.119382209,1
0.370879289,10.24733133,0.948371608,1.479008411,4.149553445,1
0.169577206,8.359378398,0.983909,1.399507478,3.249127434,1
0.195511642,9.179927827,0.981355329,1.193685994,2.742646443,1
0.843091299,5.493950292,0.843625758,2.739704257,9.052708864,1
0.174770221,4.217354491,0.968998622,1.819322047,4.765504983,1
0.180729167,5.481360621,0.969044875,1.491243026,3.694845447,1
0.208318015,9.937703175,0.948330563,2.238306327,7.800973684,1
0.142693015,7.134800046,0.912034625,2.51457897,11.10160157,1
0.359175858,8.555352313,0.970654681,1.292498181,3.079525448,1
0.23114277,8.207405669,0.978733595,1.340668243,3.316721764,1
0.340088848,9.235214768,0.948076362,2.304416276,7.271547767,1
0.284803922,4.358155971,0.957278862,2.535831345,7.82104429,1
0.082567402,5.346152385,0.952332814,2.542391553,9.387271267,1
0.298575368,6.919310319,0.913707738,2.251423603,8.472863077,1
0.325811887,10.23677325,0.95428396,2.135626875,6.594584447,1
0.906066176,11.14899074,0.886837601,1.03263404,3.057846196,1
0.509803922,9.347748148,0.917612641,1.286291699,3.467257246,1
1.896890319,7.06337532,0.819021034,1.656391154,4.001921918,1
0.377052696,10.8611961,0.952774814,0.786869913,2.288521504,1
0.725061275,7.704691263,0.89561822,1.847710342,5.08874791,1
0.564859069,7.636023313,0.912357431,2.074477595,6.050126299,1
0.154166667,4.059732707,0.925163752,4.36476732,22.38978932,1
0.425214461,3.298044876,0.75025342,5.087112365,28.91956172,1
0.332261029,3.976944251,0.947216178,2.743745683,9.328359696,1
1.406740196,8.571306669,0.775979698,1.134881831,2.756601616,1
0.245818015,4.52071476,0.951428701,2.077232547,5.857347112,1
0.383164828,8.387503838,0.887754127,3.038097782,12.54096038,1
0.763449755,7.892448663,0.896725357,1.465647985,3.549129166,1
0.296583946,8.972230073,0.922284417,1.441516793,3.926363215,1
0.526393995,5.467366173,0.916252683,2.887359007,9.882782387,1
0.834436275,8.071133279,0.851261504,1.838558257,5.215308875,1
0.913602941,6.400822926,0.837942115,2.381690398,7.456047417,1
0.891559436,5.830649522,0.832122756,2.929322482,10.45033403,1
0.440272672,5.739730849,0.928180615,2.507668247,7.876461978,1
0.425566789,5.265087524,0.917482119,2.82091038,9.636429843,1
0.781265319,7.91340779,0.874963859,1.99679391,5.85252311,1
0.601685049,7.229460721,0.917967362,1.880602404,5.145783742,1
0.618520221,8.341000094,0.943331066,1.462941542,3.602819485,1
0.877772672,8.478706867,0.892764666,1.443674421,3.537557767,1
0.486933211,5.978231569,0.921945768,2.006636777,5.74067049,1
0.452190564,5.695933838,0.913106909,2.448590165,7.888235163,1
0.490594363,7.752979365,0.871294615,2.213486618,7.287070957,1
0.501041667,5.886892252,0.937042462,1.939104473,5.252782277,1
0.908134191,10.05015724,0.807186401,1.774648174,6.017780978,1
0.502113971,8.060755126,0.941834086,1.508815029,3.79624856,1
0.887530637,9.510271516,0.84131019,1.713856358,5.227304141,1
0.529365809,8.831656311,0.908234977,1.203199595,3.308157018,1
0.225643382,10.34956894,0.942236389,1.651548223,4.880668923,1
0.668167892,6.799552314,0.842690776,2.671431697,9.282271704,1
0.391896446,9.210113365,0.940589051,1.339211919,3.497597386,1
0.138327206,9.641449413,0.934194025,1.604116153,4.845043893,1
