Contrast,RMS,Correlation,Skewness,Kurtosis,Variance,Standard_Deviation,Output
0.456387868,8.611277378,0.823308912,3.358529006,15.26635524,1294.854341,39.10557159,1
0.523621324,9.97561844,0.853721303,2.849428425,12.04289833,2004.468146,47.06776612,1
0.481740196,9.922909234,0.884276345,2.386336379,8.903399872,2443.327884,51.48067125,1
0.097457108,6.516736646,0.987480096,1.956509099,5.570026628,2657.972212,63.6302262,1
0.18471201,8.610411741,0.984209853,1.267840343,3.075216401,4034.105273,79.74185418,1
0.184344363,8.134055541,0.975628267,1.672609313,4.514284268,2910.036969,63.92286706,1
0.693964461,10.23151038,0.942760059,0.957569818,2.336251325,5764.543623,84.19423903,1
0.280851716,5.115511768,0.925126188,2.647430824,9.28158693,1879.463334,45.91790037,1
0.069822304,7.881037065,0.981277612,3.638671963,16.37658509,1884.606261,49.23248976,1
0.297518382,7.986237896,0.883291853,2.199269672,8.119382209,1443.267492,40.88302482,1
0.370879289,10.24733133,0.948371608,1.479008411,4.149553445,3875.739496,67.25068876,1
0.169577206,8.359378398,0.983909,1.399507478,3.249127434,5261.542019,75.09303484,1
0.195511642,9.179927827,0.981355329,1.193685994,2.742646443,5342.964561,75.93357124,1
0.843091299,5.493950292,0.843625758,2.739704257,9.052708864,3111.225422,56.44873502,1
0.174770221,4.217354491,0.968998622,1.819322047,4.765504983,1073.383314,55.35082055,1
0.180729167,5.481360621,0.969044875,1.491243026,3.694845447,1143.805408,56.71590008,1
0.208318015,9.937703175,0.948330563,2.238306327,7.800973684,1695.688144,48.09937604,1
0.142693015,7.134800046,0.912034625,2.51457897,11.10160157,610.1868262,32.41853547,1
0.359175858,8.555352313,0.970654681,1.292498181,3.079525448,4381.60891,84.61752374,1
0.23114277,8.207405669,0.978733595,1.340668243,3.316721764,2994.981527,80.73740621,1
0.340088848,9.235214768,0.948076362,2.304416276,7.271547767,3438.630455,62.08328632,1
0.284803922,4.358155971,0.957278862,2.535831345,7.82104429,2488.683725,61.98819295,1
0.082567402,5.346152385,0.952332814,2.542391553,9.387271267,831.9217723,38.02527721,1
0.298575368,6.919310319,0.913707738,2.251423603,8.472863077,1271.078854,44.80436403,1
0.325811887,10.23677325,0.95428396,2.135626875,6.594584447,3392.481396,61.55756059,1
0.906066176,11.14899074,0.886837601,1.03263404,3.057846196,3662.077004,69.66569889,1
0.509803922,9.347748148,0.917612641,1.286291699,3.467257246,2932.405974,58.56025321,1
1.896890319,7.06337532,0.819021034,1.656391154,4.001921918,5620.404751,78.9254949,1
0.377052696,10.8611961,0.952774814,0.786869913,2.288521504,3703.653192,66.93309956,1
0.725061275,7.704691263,0.89561822,1.847710342,5.08874791,3678.674954,62.98179942,1
0.564859069,7.636023313,0.912357431,2.074477595,6.050126299,3322.331395,60.57290812,1
0.154166667,4.059732707,0.925163752,4.36476732,22.38978932,1258.189682,38.14928381,1
0.425214461,3.298044876,0.75025342,5.087112365,28.91956172,1166.325825,35.39337907,1
0.332261029,3.976944251,0.947216178,2.743745683,9.328359696,1364.156363,56.12962332,1
1.406740196,8.571306669,0.775979698,1.134881831,2.756601616,3143.656487,60.36154871,1
0.245818015,4.52071476,0.951428701,2.077232547,5.857347112,2111.087005,60.14022298,1
0.383164828,8.387503838,0.887754127,3.038097782,12.54096038,1909.018453,46.35876344,1
0.763449755,7.892448663,0.896725357,1.465647985,3.549129166,4352.893023,69.75581665,1
0.296583946,8.972230073,0.922284417,1.441516793,3.926363215,2256.46097,49.9367657,1
0.526393995,5.467366173,0.916252683,2.887359007,9.882782387,2601.351617,62.6758022,1
0.834436275,8.071133279,0.851261504,1.838558257,5.215308875,3019.210372,56.71638169,1
0.913602941,6.400822926,0.837942115,2.381690398,7.456047417,2988.261764,55.67397467,1
0.891559436,5.830649522,0.832122756,2.929322482,10.45033403,2840.051416,54.20598496,1
0.440272672,5.739730849,0.928180615,2.507668247,7.876461978,3468.339294,61.96826347,1
0.425566789,5.265087524,0.917482119,2.82091038,9.636429843,3068.135557,57.71905734,1
0.781265319,7.91340779,0.874963859,1.99679391,5.85252311,3185.669159,58.85572967,1
0.601685049,7.229460721,0.917967362,1.880602404,5.145783742,3508.094228,62.39253372,1
0.618520221,8.341000094,0.943331066,1.462941542,3.602819485,5174.837776,75.81682131,1
0.877772672,8.478706867,0.892764666,1.443674421,3.537557767,4837.704296,70.87501784,1
0.486933211,5.978231569,0.921945768,2.006636777,5.74067049,2466.667121,59.87787686,1
0.452190564,5.695933838,0.913106909,2.448590165,7.888235163,2208.009147,53.85794608,1
0.490594363,7.752979365,0.871294615,2.213486618,7.287070957,2442.960204,51.13949577,1
0.501041667,5.886892252,0.937042462,1.939104473,5.252782277,3301.49872,66.60714597,1
0.908134191,10.05015724,0.807186401,1.774648174,6.017780978,2425.95905,51.86601879,1
0.502113971,8.060755126,0.941834086,1.508815029,3.79624856,3279.862398,67.37875099,1
0.887530637,9.510271516,0.84131019,1.713856358,5.227304141,2910.893762,57.26855574,1
0.529365809,8.831656311,0.908234977,1.203199595,3.308157018,2618.781192,57.72815009,1
0.225643382,10.34956894,0.942236389,1.651548223,4.880668923,3087.77695,63.60889142,1
0.668167892,6.799552314,0.842690776,2.671431697,9.282271704,2782.600273,53.29866892,1
0.391896446,9.210113365,0.940589051,1.339211919,3.497597386,2547.729006,61.4329529,1
0.138327206,9.641449413,0.934194025,1.604116153,4.845043893,2052.991262,51.00041789,1
0.390992647,9.101357512,0.965668381,1.729695963,4.380377661,6346.72087,85.81811832,1
0.295634191,10.16677449,0.889840992,1.14516354,3.22704474,2051.92948,55.69410507,1
0.216007966,11.30656528,0.905316628,0.918501138,2.570361526,1943.242595,47.88257441,1
0.268795956,7.335986935,0.967223232,2.466876208,7.558129788,3300.127896,73.78466264,1
0.075214461,8.205329985,0.907871781,1.581157565,4.30967928,825.7073827,34.72083416,1
0.339246324,8.69413548,0.909628355,1.403073695,3.65134935,2124.624612,48.09853689,1
0.518213848,7.405352993,0.848019196,1.967732476,5.830470347,2090.218573,48.49559061,1
0.06651348,5.866290887,0.893457187,2.560884941,8.80010364,430.9884765,21.6052617,1
0.456433824,9.231373485,0.96105701,1.13903122,2.682479051,5854.116051,79.82378637,1
0.422824755,7.115000658,0.866031159,2.502477352,8.793544202,2052.501765,46.72380826,1
0.451608456,7.330723858,0.951560175,1.5589338,3.870724747,4128.112603,71.26272037,1
0.554947917,8.122699208,0.8965436,1.942466932,5.978709513,2855.391255,58.88999067,1
0.60323223,7.210167413,0.890005547,2.294589096,7.49416202,2869.300052,59.47848919,1
0.435707721,7.723879296,0.93260695,1.626813611,4.347371352,3278.386181,59.7592695,1
0.425045956,6.690225193,0.954897135,1.868277833,4.926511933,3883.662115,71.06141028,1
0.585003064,7.638804608,0.855184111,2.078983274,6.505147825,2181.137075,48.50863676,1
0.648529412,8.308826812,0.834382293,1.892939158,5.740470046,2394.289244,50.44796129,1
1.120021446,9.041788821,0.870312238,1.481412667,3.791541846,4206.864058,68.69053815,1
0.199571078,8.84337747,0.936225653,1.409340929,3.504779548,3075.548218,60.46913002,1
0.465134804,8.069099645,0.890187195,1.876760995,5.299450643,3669.205954,68.77326954,1
0.195802696,9.550461142,0.943518288,1.010826896,2.5873698,2652.913636,62.15361542,1
1.02544424,8.675891571,0.816553825,1.817301321,5.18705409,3007.623129,57.4030718,1
